plcyNm,plcyExplnCn,plcySprtCn,aplyYmd,aplyUrlAddr,sprtTrgtMinAge,sprtTrgtMaxAge,lclsfNm,mclsfNm
서울시복지재단 <가족돌봄청년 성장프로그램> 신청 안내,가족돌봄청년을 위한 프로그램을 진행합니다.,"○ 진행내용: ChatGPT가 나 대신 일하게 하기
○ 프로그램 구성
업무에 도움이 되는 생성형 AI 
각 생성형 AI 특징과 활용법 
""지피테이블""로 프롬프트 만들기 
프롬프트 작성법 TIP & 실습
생성형 AI ""감마""로 PPT끝내기
생성형 AI ""릴리스 AI""로 자료 수집하기

○ 일 시 : 2024.11.14.(목) 19시~21시
○ 장 소 : 흑석역 인근(자세한 장소는 선정자 대상 안내)",20241104 ~ 20241111,https://naver.me/5WOPbVph,14,34,"교육,교육","미래역량강화,온라인교육"
[용인시] 11월 면접사진촬영(수지),[11월] 전문가와 함께하는 면접 사진 촬영,"- 전문가명: 유랑스튜디오 유홍양 대표
- 운영일자: 
   1) 9회차: 11월 21일 목 10:30~12:30 수지청년랩
- 진행장소: 용인시 수지구 용인청년lab 수지 (용인시 수지구 포은대로 499 아르피아타워 3층)
- 진행내용: 전문 사진 작가와 함께하는 용인청년랩 특별이벤트 면접사진촬영 프로그램입니다.
★ 올해는 메이크업이 없습니다 
★ 헤어 및 메이크업 하고 오셔야합니다.",20241104 ~ 20241117,https://forms.gle/DwCPnACptnZqJtH76,18,39,복지문화,예술인지원
대전형 코업 청년 뉴리더 양성사업,"기술보유 기업, 중소기업 등 기업 현장에서의 취업교육, 일·경험 기회 제공을 통한 졸업예정자·휴학생 등의 조기취업 활성화, 혁신 네트워크 형성을 통한 고용, 매출 창출과 지역산업 활력 제고","운영기관(대학교)
- 운영기관 관리비 : 학생당 월 30천원씩 배정
- 사전직무교육비 : 기관별 최대 2,000천원

○ 대학생
- 직무체험비(월 최대 2,060,740원 / 1일 4-8시간, 최대 주 40시간 / 최소 2개월 ~ 최대 6개월)
○ 기업
- 기업멘토수당 월 100천원",,https://www.jobdaejeon.or.kr/main/index.do,18,39,일자리,재직자
"AI를 쉽고 유쾌하게, 디지털 신기술 세미나 안내","지금까지 이런 라인업은 없었다!
AI 누구나 쉽고 유쾌하게! 업계 탑티어 전문가 강연부터 요즘 핫한 IT유튜버와 함께하는 토크콘서트까지!
오직 충청권을 위한 프로그램, 뭘 좋아할지 몰라 모두 준비했습니다!","▶세미나 개요
모집 대상: 디지털 역량 강화에 관심있는 충청권 누구나
모집 인원: 회차당 온/오프라인 100명 *오프라인 참석 희망자 우선 선발

✔1회차
일시: 24.11.11.(월) 10시~12시
장소: 고려대학교 세종캠퍼스 농심국제관 국제회의실 106호
- Session: 디지털 과거와 미래
- Speaker：장동선 박사(뇌과학자, 궁금한뇌연구소 대표)

✔2회차
- 일시: 24.11.19.(화) 14시~16시
- 장소: 선문대학교 자연관 B101호
- Session 1: 멀티모달 생성형 AI
- Speaker 1: 김대식 교수(KAIST 전기 및 전자공학부 교수)
- Session 2: 인공지능 산업 동향과 비즈니스 모델
- Speaker 2: 이경전 교수(경희대 대학원 빅데이터 응용학과 교수)

✔3회차
일시: 24.11.26.(화) 14시~16시
장소: 충청ICT이노베이션스퀘어
- Session 1: 인공지능 시대, 어떻게 준비 해야 할까?
- Speaker 1: 유튜버(조코딩)
- Session 2: 인공지능이 만들어갈 환상의 세계
- Speaker 2: 유튜버(1분과학)

 ▶참여 혜택
1. 참가비 전액 무료
2. 현직자 특강 & 취업 토크콘서트",20241106 ~ 20241126,https://forms.gle/n9KvfbNYKfvwBGCe6,,,"교육,교육","미래역량강화,온라인교육"
2024년 한부모가정 취업촉진 지원사업 대상자 모집,한부모가족 취업지원을 통해 경제적 자립지원을 목적으로 실제 취업에 도움이 되도록 자격증 취득비와 면접지원비 등을 지원,"취업 지원 또는 자영업 컨설팅
○ 직업훈련교육 이수 또는 자격증 취득 지원 30만원
○ 면접비 지원 : 1회당 7만원씩 3회 최대 21만원 지원
○ 자영업 운영 및 창업관련 컨설팅 : 전문컨설턴트와 1:1 진행, 총 4~5회 진행 예정
 *자세한 지원 내용은 사업 안내문 참조",20241021 ~ 20241120,,,,일자리,재직자
"[밀알복지재단] 경기도 저출생 위기극복 지원사업  ‘우리가족, 함께 기대’","밀알복지재단은 ‘경기주택도시공사’ 후원, ‘경기 사회복지공동모금회’ 지원으로 경기도에 거주하는 임신, 출산, 육아의 
과정에 있는 가정을 대상으로 시기별 세분화된 지원을 통해 안정되고 행복한 가정을 이룰 수 있도록 돕고자 합니다.","1. 임신 안정 지원
- 사업명 : 임산부 건강검진비 지원사업
- 대상 : 임산부
- 내용 : 태아 건강검진비 지원 최대 100만원

2. 출산 안정 지원
- 사업명 : 1) 출산 의료비 지원사업
- 대상 : 출산 시 응급수술이 필요한 임산부 및 신생아
- 내용 : 출산 응급수술 및 신생아 수술비 지원 최대 100만원

- 사업명: 2) 산후조리 지원사업
- 대상 : 1년 내 출산한 가정
- 내용 : 산후조리경비 지원 최대 100만원

3, 가정 안정 지원
- 사업명 : 1) 장애아동 의료비 지원사업
- 대상 : 장애진단  또는 소견이 있는 19세 이하의 아동
- 내용 : 경계선 장애아동 및 장애아동 검사비 및 재활치료비 지원 최대 270만원

- 사업명 : 2) 장애아동 형제 교육비 지원사업
- 대상 : 장애아동가정의 19세 이하 비장애 형제자매
- 내용 : 교육비 및 심리치료비 지원 최대 240만원",20240911 ~ 20250831,,,,복지문화,예술인지원
경상국립대(거점형특화) 2024년 2학기 산업특강 안내,경상국립대학교 대학일자리플러스센터에서 경남 지역 산업·대학 특성을 고려한 진로·취업 서비스 제공을 위한 2학기 산업특강 과정을 개설합니다.,"1. 운영방식: 온라인 Zoom 실시간 과정
2. 실시과정 일정 및 신청기한  (전과정 수료증 발급가능합니다.)
- 자동차부품소재 산업특강(2024. 11. 11.(월) 19:00 ~ 22:00, 80명) / 마감일시 11.8.(금) 09시
- 반도체 산업특강(2024. 11. 12.(화) 19:00 ~ 22:00, 80명) / 마감일시 11.8.(금) 09시
- 경남지역 중견·중소기업 바로알기 특강(2024. 11. 19.(화) 19:00 ~ 22:00, 80명) / 마감일시 11.18.(월) 09시",20241107 ~ 20241118,https://forms.gle/hWFoHoZiudRvV2sr7,0,34,"교육,교육","미래역량강화,온라인교육"
2025 겨울방학 대전시 대학생 아르바이트 모집공고,대전광역시에서는 대학생들이 겨울방학 기간 대전시정에 참여하여 행정 경험을 쌓을 수 있도록 다음과 같이 아르바이트 대학생을 모집합니다.,"1. 근무기간: 2025. 1. 2.(목) ~ 1. 27.(월)
2. 근무조건
 가. 근무시간: 09:00~16:00(1일 6시간, 점심시간 1시간 제외), 주 5일(실근무 18일) 근무
 * 근무부서에 따라 휴일 1일 근무(월요일 휴무) 및 근무시간 조정 가능
 나. 근무기관: 시 본청, 사업소 및 공사·공단·출연기관 등 (공고문 참고)
 다. 근무내용: 행정업무보조, 자료 정리 및 운영지원 등
 라. 실지급액: 월 1,522,140원 (18일 정상근무 시)",20241113 ~ 20241117,https://www.daejeonyouthportal.kr/content/CT_000000000070/cntPage.do?commonMenuNo=79_92&dpmSectionScd=10&dpmSectionFst=2,,,일자리,재직자
제2회 전북 양성평등 영화제 개최 안내,"제2회 전북 양성평등 영화제 개최 안내전북여성가족재단 소속 전북거점형양성평등센터가 주최하는 제2회 전북 양성평등 영화제 '모어(MORE)영화제'가 오는 11월 여러분을 찾아옵니다. 모두의 역할과 중요성을 조명하며 성평등 사회를 꿈꾸는 이번 영화제에 많은 관심과 참여 바랍니다. '모어(MORE)영화제' 한눈에 살펴보기!- 일시: 2024년 11월 15일(금) ~ 11월 16일(토)- 장소: CGV 전주고사점 8관(4DX관)- 모든 영화는 무료로 상영됩니다.- 접수 방법 : QR 코드 스캔 또는 링크 클릭!https://forms.gle/EQWYDiAnThxcuLecA  이번 영화제에서는 개막작 ‘양림동 소녀’와 폐막작 ‘아이슬란드가 멈추던 날’을 포함한 총 7편의 장/단편 영화를 선보입니다. 또한, 감독과의 대화 및 스페셜 토크, 라운드테이블 등 다채로운 프로그램도 준비되어 있습니다. ‘모어(MORE)영화제’를 통해 성평등한 사회를 위한 한 걸음을 내딛고, 공감과 연결의 시간을 가져 보시길 바랍니다.  많은 참여 부탁드립니다.","제2회 전북 양성평등 영화제 개최 안내전북여성가족재단 소속 전북거점형양성평등센터가 주최하는 제2회 전북 양성평등 영화제 '모어(MORE)영화제'가 오는 11월 여러분을 찾아옵니다. 모두의 역할과 중요성을 조명하며 성평등 사회를 꿈꾸는 이번 영화제에 많은 관심과 참여 바랍니다. '모어(MORE)영화제' 한눈에 살펴보기!- 일시: 2024년 11월 15일(금) ~ 11월 16일(토)- 장소: CGV 전주고사점 8관(4DX관)- 모든 영화는 무료로 상영됩니다.- 접수 방법 : QR 코드 스캔 또는 링크 클릭!https://forms.gle/EQWYDiAnThxcuLecA  이번 영화제에서는 개막작 ‘양림동 소녀’와 폐막작 ‘아이슬란드가 멈추던 날’을 포함한 총 7편의 장/단편 영화를 선보입니다. 또한, 감독과의 대화 및 스페셜 토크, 라운드테이블 등 다채로운 프로그램도 준비되어 있습니다. ‘모어(MORE)영화제’를 통해 성평등한 사회를 위한 한 걸음을 내딛고, 공감과 연결의 시간을 가져 보시길 바랍니다.  많은 참여 부탁드립니다.",20241115 ~ 20241116,,,,참여권리,청년국제교류
2024년 전북 청년 맥가이버 학교,"♦ 사업명 : 2024년 전북 청년 맥가이버 학교 참여자 모집♦ 모집대상 : 도내 거주 청년 누구나!!   ※단, 모집률 저조시 지자체별 청년나이로 변경 예정♦ 모집규모 : 80명(회차별 20명 총 4회차, 선착순)♦ 주요내용 : 간단한 집수리 교육, 취약계층 봉사활동♦ 교육일정 ＊회차별 단체 신청시 시간 협의 가능 ① 2024. 11. 15.(금) ~ 11. 17.(일), 전주 전북청년허브센터 ② 2024. 11. 22.(금) ~ 11. 24.(일), 남원 청년마루 ③ 2024. 11. 29.(금) ~ 12. 01.(일), 김제 청년공간 이다 ④ 2024. 12. 04.(금) ~ 12. 08.(일), 진안 사통팔달센터 - 금요일 수업 18:00 ~ 22:00 - 토요일 수업 14:00 ~ 18:00 - 일요일 봉사 14:00 ~ 18:00 ＊취약계층 상황에 따라 시간변경이 될 수 있음♦ 신청기간 : 2024. 11. 5.(화) ~ 12. 3.(화) ※회차별 마감날짜 상이♦ 신청방법 : 온라인 신청, 전북청년허브센터(www.jb2030.or.kr), 청년사업신청 클릭!♦ 문 의 처 : 063-220-8958많은 관심과 참여부탁드립니다.","♦ 사업명 : 2024년 전북 청년 맥가이버 학교 참여자 모집♦ 모집대상 : 도내 거주 청년 누구나!!   ※단, 모집률 저조시 지자체별 청년나이로 변경 예정♦ 모집규모 : 80명(회차별 20명 총 4회차, 선착순)♦ 주요내용 : 간단한 집수리 교육, 취약계층 봉사활동♦ 교육일정 ＊회차별 단체 신청시 시간 협의 가능 ① 2024. 11. 15.(금) ~ 11. 17.(일), 전주 전북청년허브센터 ② 2024. 11. 22.(금) ~ 11. 24.(일), 남원 청년마루 ③ 2024. 11. 29.(금) ~ 12. 01.(일), 김제 청년공간 이다 ④ 2024. 12. 04.(금) ~ 12. 08.(일), 진안 사통팔달센터 - 금요일 수업 18:00 ~ 22:00 - 토요일 수업 14:00 ~ 18:00 - 일요일 봉사 14:00 ~ 18:00 ＊취약계층 상황에 따라 시간변경이 될 수 있음♦ 신청기간 : 2024. 11. 5.(화) ~ 12. 3.(화) ※회차별 마감날짜 상이♦ 신청방법 : 온라인 신청, 전북청년허브센터(www.jb2030.or.kr), 청년사업신청 클릭!♦ 문 의 처 : 063-220-8958많은 관심과 참여부탁드립니다.",20241105 ~ 20241203,,,,주거,주택 및 거주지
2025년도 겨울방학 청소년지도사 실습생 모집,2025 동계 청소년지도사 현장 실습생을 모집합니다.,"일 정: 2024년 12.30(월). ~ 2025.1.31(금) 기간 중 (월~금 평일 운영)/ 매일(09:30 ~ 17:30)
장 소: 서울청소년센터 및 외부
실습내용 : 청소년 기관의 이해 및 활동 프로그램 기획 운영 
※ 본 실습은 사회복지학과 실습이 아닌 청소년관련 학과 실습과정입니다.
실습비용 : 50,000원",20241102 ~ 20241214,,,,"교육,교육","미래역량강화,온라인교육"
2024년 「경기 저소득층 전세금 대출보증 및 이자지원사업」신청자 모집 공고,"경기도는 금융권에서 임대보증금 대출이 어려운 저소득 가구*를 대상으로, 주거비 완화 및 주거안정 도모를 위해 ｢경기 저소득층 전세금 대출보증 및 이자지원사업｣을 시행 할 예정이오니 아래의 공고내용을 참고하여 신청하여 주시기 바랍니다.","□ 지원내용 : 대출금리 4% 지원(기본 2% + '24년 추가지원율 2%)
              대출보증료 전액(최대 2회)

□ 보증 및 대출용도
   ① 신규계약 보증금 납부  ② 증액보증금(재계약)/전환보증금 납부 ③ 제1‧2금융권 대환대출 목적

□ 대출 기간 : 2년(최대 10년)
  ※ 공공임대주택 입주(예정)자는 임대차계약서 상 기재된 계약기간에 따라 2년 2개월 적용 가능(최대 10년 2개월)

□ 대상주택
 ㅇ 경기도 내 주택 또는 주거용 오피스텔로 임대보증금이 2억5천만원 (2인 이상 가구는 3억원) 이하 일 것",20241106 ~ 20241120,,,,주거,주택 및 거주지
청년정책조정위원회 실무위원회 위촉직 위원 모집,청년정책조정위원회 실무위원회 위촉직 위원 모집,o 청년정책조정위원회 심의사항에 대한 전문적 검토,20241104 ~ 20241118,https://www.2030db.go.kr/user/ntt/BBS_0000000000000005/NTT_0000000000000314/selectNttDetail.do,19,34,참여권리,청년국제교류
공정거래위원회 2030 자문단 모집 공고,공정거래위원회 정책 전반에 대해 청년세대의 인식을 전하는 핵심 창구 역할을 수행할 공정거래위원회 2030 자문단 단원을 공개 모집하오니 많은 참여 바랍니다.,"○ 모집분야 : ① 소비자정책, ② 기업거래정책, ③ 경쟁정책  
 - 지원자는 3개 분야를 관심도 순으로 순위까지 작성하여 접수
 ※ 모집분야는 분과 활동을 위한 참고자료로 활용되며 지원자가 선호하는 분과로 배정되지 않을 수 있음

○ 임기 : 위촉일로부터 1년 (*1회 연임 가능)

○ 주요역할  : 공정거래위원회 정책 모니터링 및 정책 제언, 주요 정책에 대한 청년세대의 의견 전달 등

○ 주요활동 : 전체회의(분기 1회), 분과회의(월 1회) 등
 ※ 활동 횟수, 방법 등은 자문단 운영 사정에 따라 바뀔 수 있음",20241106 ~ 20241115,https://www.2030db.go.kr/user/ntt/BBS_0000000000000005/NTT_0000000000000316/selectNttDetail.do,19,39,참여권리,청년국제교류
마포 청년정책네트워크 <2024 청년정책 아카데미> 참가자 모집,"2024년의 마무리를 준비하는 11월, 마청넷은 자발적 참여로  '더 나은 마포'를 만들어가는 활동에 관심 있는 청년들을 위해 <마포 청년정책네트워크 2024 청년정책 아카데미>를 준비했습니다. 
딱딱하고 어렵게 느껴졌던 '(청년)정책', '거버넌스', '주민참여'에 대해 기초부터 차근차근 알아가는 강의와 [마청넷] 활동을 맛볼 수 있는 '청년지원정책 체험' 프로그램이 마련되어 있으니 많은 관심과 참여 부탁드립니다!","1. 장소: 서울청년센터 마포 (서울 마포구 월드컵로1길 14, 마포함께이룸센터 내)

2. 일정
강의 1: 2024. 11. 13.(수) 19시 - 21시
강의 2: 2024. 11. 20.(수)19시 - 21시
청년지원정책 체험 - 퍼스널컬러 진단, 업사이클링 만들기(수납바구니/가죽 다이어리) : 2024.11.27.(수) 13:00~17:30 (프로그램별로 상이)",20241105 ~ 20241111,,19,39,참여권리,청년국제교류
2025 안산시 청년활동협의체,"2025년 안산시 청년활동협의체
안산시 청년활동협의체 위원을 모집합니다!
청년이 중심이 되는 그날까지!
안산시를 함께 그려갈 청년을 찾습니다!","○ 임 기 : 1년 (2025. 1. 1. 2025. 12. 31.)

○ 주요활동
• 청년의견 수렴 및 청년정책 제안
• 청년 문제 발굴, 조사 및 개선방안 모색
• 국내외 청년단체와의 협력 및 교류 
• 그 밖에 청년의 소통과 참여에 관한 사항

○ 회의운영
정기총회(상·하반기), 분과회의(월 1회), 임원회의(월 1회), 임시회의

○ 분과구성
• 참여 권리분과
• 교육·일자리 분과
• 주거·복지분과
• 문화예술분과

○ 활동지원
• 활동비 지급
• 워크숍, 청년주간 행사 등 청년 관련 행사 참여
• 활동증명서 지급(60%이상 활동시)",20241028 ~ 20241117,https://asyouthspace.kr/main02/1052,19,39,참여권리,청년국제교류
남양주시 청년취업캠프 「취준진담」 참가자 모집,"남양주시와 경복대학교 대학일자리플러스센터가
취업준비에 막막한, 취업준비에 지친 청년들을 위하여
힐링과 취업준비를 한번에 할 수 있는
청년취업캠프 「취준진담」을 11. 12.（화）에 개최합니다.
다양한 프로그램이 준비되어있으니, 청년분들의 많은 관심 부탁드립니다!
「취준진담」참가하시고 신입사원웰컴키트도 받아가세요!","1. 행 사 명 : 청년취업캠프 「취준진담」
2. 일 시 : 2024. 11. 12.（화）09:00 ~ 19:00
3. 장 소 : 한강뮤지엄（와부읍）
* 집결지 남양주시청（금곡） 예정 / 선정자 개별 안내
4. 주요내용
- 아이스브레이킹, 힐링공연
- 2025년 채용트렌드
- 자소서 및 면접 유형별 전략 스킬
- 기업 유형별 취업 전문가 컨설팅 등
（국내 대기업, 중견, 글로벌, 마케팅 기업, 해외 취업）",20241031 ~ 20241112,,19,39,일자리,재직자
SK NEW SCHOOL 「2025년 신입생 모집 통합 입학설명회」,-,"지원 내용 : 
교육비 전액 무료 (학비ㆍ기자재ㆍ교재ㆍ실습물품ㆍ자격증 취득비 제공)
실무형 커리큘럼과 전문 강사진
SK 관계사 및 기업 인턴십 기회 제공, 채용 우대
진로상담 및 개인별 취업 지원 (‘23년 취업률 98%)

장학 지원 : 
생활ㆍ주거장학
-조리과ㆍ카페베이커리과 : 교육생 전원(‘24년 기준 월 최대 90만원)
-MD과ㆍ정보보안과ㆍ자동차판금도장과 : 신청/선발",20241201 ~ 20241214,,20,39,"교육,교육","미래역량강화,온라인교육"
제2회 코드하우스 소프트웨어 개발 챌린지,"제2회 코드하우스 소프트웨어 챌린지 ""경품 추첨 이벤트""
-울산경남지역혁신플랫폼 스마트제조엔지니어링사업단에서 주관하는 제2회 코드하우스 소프트웨어 챌린지에서 경품 추첨 이벤트를 진행하고자 합니다.
(상세내용은 지원내용 참조)
현장 방문하여 참관만 하면 엄청난 상품을 받을 수 있으니 많은 관심과 참여부탁드립니다.","제2회 코드하우스 소프트웨어 챌린지 ""경품 추첨 이벤트""
울산경남지역혁신플랫폼 스마트제조엔지니어링사업단에서 주관하는제2회 코드하우스 소프트웨어 챌린지에서 경품 추첨 이벤트를 진행하고자 합니다.
제2회 코드하우스 소프트웨어 개발 챌린지는 6개월 동안 지역 기업(대호아이앤티, 뎁스, 메타뷰, 케이시스, 현대정밀, 태림산업)과 추진한 기업연계형 셀 기반 프로젝트를 대내외 관계자들에게 알리고 성과물에 대해 평가받는 경진대회입니다.  
코딩 및 SW교육에 관심있는 학생(비전공자 포함) 및 지역민(기업관계자, 취업준비생 포함)분들께서 많이 참여하시어 성과물 확인과 경품 받아가시면 되겠습니다. 

링크 들어가셔서 참관신청 부탁드립니다.
* 참관신청 링크: https://form.naver.com/response/OfdiCEIg_BzZBEZZQAVAkQ 
대회 진행
1. 일정: 2024. 11. 15. (금) 13:30 ~ 18:00
2. 장소: 국립창원대학교 85호관 1층 대강당(CWNU이룸홀) 경품 추첨 이벤트 참여 혜택 경진대회 참가 팀 발표 및 시상 후 경품 추첨을 통해 선정된 참관자에게 우수한 경품 증정
1등: 아이패드(1명)2등: 에어팟 프로2 (1명)3등: 외장하드 2TB (2명)4등: 스타벅스 상품권(1만원권) (10명)5등: 스타벅스 상품권(5천원권) (100명)참석자 전원 접이식 우산 지급!
현장 방문하여 참관만 하면 엄청난 상품을 받을 수 있으니 많은 관심과 참여부탁드립니다.",20241105 ~ 20241115,https://www.changwon.ac.kr/portal/na/ntt/selectNttInfo.do?mi=13536&nttSn=1351377,19,34,참여권리,청년국제교류
전남문화재단 2024 사가지(사회적가치지향) 시즌2 전국 청년 활동가 대회 사전신청자 모집(일시: 11.15(금) - 11.16.(토)),"전국의 능동하는 활동가, 다정한 행정가, 숨죽인 생활인 청년들이 모여 생태, 환경, 청년, 지역 소멸 등 지역의 문제를 고민하고 나누는 과정을 함께하는 자리","○ 내용
Day 1)  11.15.(금) 오후 ~
오픈 세레머니(환영인사, 사가지 상영회, 업사이클링 뮤직)
교도소 투어 및 프로젝트 전시 관람
말랑말랑 라운드 테이블 1
공연과 쉼을 곁들인 네트워크(모닥불 쉼터)

Day 2) 11.16.(토) 오전 ~
편백 숲에서 맞는 아침(장흥 우드랜드)
모닝 Talk
말랑말랑 라운드 테이블 2
※ 상기 일정은 변경될 수 있습니다.

○ 참여자 준비물 : 개인 텀블러, 편한 복장, 숙박 시 세면도구(샴푸, 바디워시, 칫솔 등)",20241022 ~ 20241110,https://answer.moaform.com/answers/W225GQ,,,복지문화,예술인지원
2024 전남 문화예술교육 역량강화 워크숍<무장무장 토끼캠프 퇴깽이 구출작전 🐇> (일시: 11.11(월)~12.(화)),2024 전남 문화예술교육 역량강화 워크숍,"○ 행사안내
- 기간 : 2024.11.11.(월) ~ 11.12.(화)
- 장소 : 여수 디오션 호텔&리조트(전남 여수시 소호로295)
- 대상 : 전남 문화예술 발전을 위해 지금도 열심히 활동 중인 누구나
- 내용: 워크숍 기조강연, 워크숍 A(Class 1개 선택), 네트워크 파티, 워크숍 B(Class 1개 선택), 워크숍C(Class 1개 선택), 마무리
- 워크숍 강의
1) 의식주 - 지질학과 베이커리의 상관관계 (안데스)
2) 대상 - 예술가의 유연성 : 위험과 보호의 경계에서 펼쳐지는 아슬아슬한 줄타기 (양재혁)
3) 질문 - 콜타르 새의 심장 쓰기 (장혜령)
4) 로컬 - 먹는다의 디자인 : 식경험 디자이너의 생각과 일 (강은경)
5) 몸 - 다양한 몸짓의 가능성 (김형희)
6) 관계 - 기존의 언어에 갇히지 않고 (성다인)",20241101 ~ 20241111,https://forms.gle/Ju1QqiBCPC8UPGUX9,,,복지문화,예술인지원
2024 서울문화재단 예술인 법률상담,서울에서 활동하고 있는 예술인들이 창작활동을 지속하는데 어려움이 없도록 법률상담을 지원,"예술인들의 권익보호, 창작활동 과정에서 발생되는 불공정행위 및 법률적 이슈에 대하여 전문가와 개별 상담을 진행

○ 상담 분야
- 법률 : 예술 활동 시 발생하는 불공정행위, 계약, 저작권 등 각종 법률적 문제
- 노무 : 근로 및 노무관리, 예술인 사회적 안전망인 사회보험 문제 등
- 회계 : 단체 및 사업 운영 시 발생되는 세무, 회계 상의 문제 등
- 각종 법률서식 작성 및 검토 지원(내용증명, 신청서, 계약서 검토 등)

○ 상담 유형 (선택)
① 대면 상담 : 약속된 일정에 상담 장소로 직접 내방하여 전문가와 상담 진행
② 온라인 상담 : 약속된 일정에 맞춰 온라인 플랫폼(zoom)을 통해 전문가와 화상회의 방식으로 상담 진행
③ 서면 상담 : 신청 시 작성한 질문에 대하여 전문가가 직접 답변을 작성하여 전달하는 방식으로 진행
※ <법률서식 작성 및 검토>는 상담(대면 or 온라인)을 토대로 진행되며 완성된 서식은 별도 전달",20240301 ~ 20241130,https://www.sfac.or.kr/cnslt/cnsltReqstLawInfo.do,,,복지문화,예술인지원
강원 원주시 2024년 2학기 주소(거주지) 이전 대학생 학자금 지원 사업,원주시에서는 대학생의 주소 이전으로 지방대학의 성장 발전 및 도시의 미래 잠재역량을 강화하고자 「대학생 주소이전 사업」을 추진,"○ 지급 대상: 타 시군에서 2024. 10. 15.까지 관내 대학 생활관 및 주소지로 전입신고를 마친 주소지가 원주시인 대학생
※ 휴학생, 재외국민, 외국인 제외
○ 지급 금액: 1인당 10만원 (학기별)",20241104 ~ 20241115,,,,복지문화,예술인지원
전북문화관광재단 2024 예술인복지증진센터 운영사업-예술인역량강화재교육(함께하는 예술기행) 참여자 모집(교육일 : 12.11(수)),전북특별자치도 예술인의 타지역의 찾아가는 예술기행을 통한 예술인의 창작활동 역량강화,"○ 교 육 명 : 2024 예술인복지증진센터운영사업[예술인역량강화재교육] - 함께하는 예술기행(2차) 
○ 기행일자 : 2024. 12. 11.(수) 1일간
○ 장 소 : 서울 (블루스퀘어 신한카드홀, 리움미술관)
○ 모집방식 : 선착순 모집 
 ○ 지원내용 : 예술활동 전문성 강화를 위한 공연 및 전시 무료관람(점심 제공) 
 - 공연 : 뮤지컬 지킬앤하이드<20주년 기념공연> / 블루스퀘어 신한카드홀
 - 전시 : 전시 아니카 이 <또 다른 진화가 있다. 그러나 이에는> / 리움미술관",20241105 ~ 20241211,,,,"교육,교육","미래역량강화,온라인교육"
2024 서울문화재단 청소년 문화예술인 상담,청소년 문화예술인의 안정적인 예술계 진입과 정착을 위해 상담프로그램을 지원합니다. 청소년 문화예술인들의 다양한 내면적 고충을 진단하고 해결할 수 있도록 전문상담사와 개별 심리 및 진로 상담을 진행합니다.,"○ 지원내용
청소년 문화예술인 심리ㆍ진로상담 및 심리검사비 지원

○ 지원범위
심리검사비 : 필요시 1인 1회 한도 지원
심리상담비 : 2024년 이내 1인 10회 한도 지원

○ 상담기간
2024년 9월 19일(목)~12월 20일(금)

○ 상담내용
심리건강(성격문제 및 우울, 불안, 강박 등), 진로고민(예술활동 관련 진학 및 중도 포기 등), 대인관계(가족, 교우관계 등), 자기이해 및 자아성장 등

○ 상담방법
‘서울시청소년상담복지센터’ 방문 상담
* 서울특별시 중구 을지로11길 23 청소년회관",20240909 ~ 20241206,https://www.sfac.or.kr/cnslt/cnsltReqstYngbgsInfo.do,0,19,복지문화,예술인지원
2024년 강원영화학교 심화과정(촬영 및 조명) 교육생 모집(일시: 11.22.(금) ~ 23.(토)),"강원문화재단 부설기관 강원영상위원회에서 추진하는 ""2024년 강원영화학교 심화교육"" 수강생을 모집합니다.","<강의 소개>
강원영상위원회의 제작지원작품이기도 한 ""폭설""의 조명을 비롯하여, 영화 ""초록밤"", ""제8일의 밤"", ""이타미 준의 바다"", ""룸"" 등의 작품에서 촬영을 맡으셨죠! 2023년도에는 ""초록밤""으로 들꽃영화상 촬영을 2021년도에는 부산국제영화제에서 CGK(촬영감독협회) 촬영상을 수상하셨구요!
이미, 오래전부터 촬영과 조명교육을 해오신 감독님의 노하우를 고스란히 배워볼 수 있는 이번 강의에 강원 영상인 분들의 많은 관심과 참여 바랍니다!

<강의개요>
""추경엽 감독님과 함께하는 촬영 및 조명교육""
- 장소:  상상마당 춘천
-  일시: 2024. 11. 22.(금) ~ 23.(토) * 1박 2일 / 숙박 및 식사제공

<세부일정>
 1일차 (11월 22일 금요일)
13:00 ~ 17:00 - 촬영교육 및 조명교육 (이론)
17:00 ~ 19:00 - 저녁식사
19:00 ~ 21:00 - 조명교육 (장비)
 2일차 (11월 23일 토요일)
10:00 ~ 12:00 - 촬영 및 조명실습 (조별 활동)
12:00 ~ 13:00 - 실습 피드백
13:00 ~ 14:00 - 점심식사
14:00 ~ 15:00 - Q&A",20241031 ~ 20241113,https://form.naver.com/response/n3uLynSXHjg49BqD5GS1lw,19,99,"교육,교육","미래역량강화,온라인교육"
