78 10
gensim -0.0052479086 0.0024422822 0.051160455 0.09009441 -0.09281229 -0.0712302 0.06483191 0.08985646 -0.05037782 -0.037720628
is 0.07390052 -0.015400725 -0.04530483 0.065579385 -0.048529863 -0.018105946 0.02916422 0.010000083 -0.08302678 -0.094654635
of 0.07328527 0.05075986 0.0677864 0.007692409 0.063705385 -0.034004286 -0.009144717 0.057840593 -0.075466655 -0.03950668
for -0.07496909 -0.009342354 0.09564169 -0.07304827 -0.023270674 -0.01925039 0.08129797 -0.059199654 0.00019971596 -0.047760513
processing -0.09591405 0.050039336 -0.08756542 -0.043840196 -0.00034125475 -0.0029563084 -0.07634291 0.09634559 0.049738474 0.0921677
source -0.081334576 0.044752534 -0.04112759 0.008379712 0.08504946 -0.04450799 0.04575903 -0.067858875 -0.035995528 0.09384407
on -0.015606493 0.0031305614 -0.041223202 -0.07674145 -0.014992744 0.024711344 -0.008408954 0.055384636 -0.02776807 0.022328189
as 0.054898452 0.083249785 -0.013865393 -0.0919786 0.04400836 0.0058645583 0.07557706 -0.007820654 -0.027057866 -0.08801181
word -0.008438214 0.028205793 0.054250814 0.07064678 -0.056956444 0.01857134 0.061147854 -0.047917135 -0.031339828 0.06782908
are 0.016392883 0.0018557596 0.034920417 0.0022156674 0.096276626 0.050620537 -0.08890656 -0.07031551 0.008825359 0.0638206
a -0.086064324 0.03665804 0.0519505 0.057541158 0.074735515 -0.061665908 0.01132443 0.06059112 -0.028519167 -0.062037658
and -0.003954796 -0.08374899 -0.05579207 0.07117154 0.033687707 0.07236861 0.068468705 0.07539403 -0.03814671 -0.005886767
words 0.02362065 -0.04531909 0.08385667 -0.098623455 0.0675855 0.02918336 -0.04906107 0.04405836 -0.017491287 0.06709854
runs 0.09997857 -0.04372705 -0.0057954183 -0.056954514 0.038506407 0.028018916 0.06943176 0.061040737 0.09515912 0.092596225
linux 0.07928667 -0.0700332 -0.09128138 -0.00368481 -0.030710287 0.07924042 0.059897374 -0.0153980125 0.014814031 0.017817346
windows 0.07848694 -0.09524983 -0.0018282109 0.03469203 -0.009274007 0.0839997 0.09064108 0.06543813 -0.0073706857 0.07700333
x -0.08509808 0.0319431 -0.0463593 -0.050962158 0.03594679 0.053936176 0.078112304 -0.057681896 0.07413213 0.066174336
os -0.036730535 -0.08763634 0.054674197 0.065083295 -0.007683829 -0.066763744 -0.07013812 -0.024878748 0.05107007 -0.03657894
